county,State,total_claims,opioid_claims,extended_release_opioid_claims,year,Annual Average Pay,dispensaries_cnt,unemployment,opioid_related,Population,deaths
Stanislaus County,CA,4238814,375100,16040,2013,40707,2,12.9,TRUE,525491,11
Tulare County,CA,2835447,193783,5483,2013,34093,1,14.3,TRUE,454143,10
Adams County,CO,1793732,165947,8967,2013,47144,,8.1,TRUE,469193,37
Douglas County,CO,754816,50086,1597,2013,55853,,5.3,TRUE,305963,12
Larimer County,CO,1642768,160484,7977,2013,43437,,5.8,TRUE,315988,14
Pueblo County,CO,1476719,145750,5702,2013,37440,1,9.8,TRUE,161451,20
Weld County,CO,995996,79113,3010,2013,43174,,6.6,TRUE,269785,10
Kent County,DE,806330,68542,4435,2013,38575,,7.4,TRUE,169416,13
Brevard County,FL,4447918,399796,20760,2013,44364,1,8.3,TRUE,550823,13
Clay County,FL,1091534,119282,6976,2013,33780,,6.3,TRUE,196399,15
Collier County,FL,2360241,166600,8827,2013,43214,1,7.1,TRUE,339642,16
Hillsborough County,FL,9793859,721996,36573,2013,47408,1,6.6,TRUE,1291578,79
Osceola County,FL,2245933,128629,5339,2013,34138,,7.9,TRUE,298504,13
Polk County,FL,5268895,360478,9260,2013,37485,,8.2,TRUE,623009,12
Sarasota County,FL,3873671,279155,10240,2013,40567,1,7,TRUE,390429,28
Seminole County,FL,2583283,174291,6992,2013,40948,1,6.7,TRUE,436041,27
Volusia County,FL,4857788,375790,14872,2013,34947,,8.2,TRUE,500800,50
Chatham County,GA,2634453,205444,5980,2013,41504,,8.3,TRUE,278434,10
Cherokee County,GA,873828,101033,7107,2013,36238,,6.2,TRUE,225106,10
DeKalb County,GA,3258954,204505,4306,2013,50609,,8.5,TRUE,713340,11
Gwinnett County,GA,3286409,235608,8720,2013,48240,,6.9,TRUE,859304,24
Ada County,ID,2586320,271764,14156,2013,43069,,5.2,TRUE,416464,28
Madison County,IN,1364634,116183,2578,2013,33872,,9.3,TRUE,130482,11
Polk County,IA,3963558,311448,12089,2013,49777,,4.8,TRUE,451677,25
Johnson County,KS,3600194,282764,10974,2013,51020,,4.3,TRUE,566933,30
Sedgwick County,KS,4357277,351819,11571,2013,44616,,6.2,TRUE,505415,11
Bell County,KY,665881,57620,291,2013,30970,,13.4,TRUE,27885,21
Daviess County,KY,1292817,90773,2204,2013,36188,,6.9,TRUE,98218,13
Floyd County,KY,856154,76564,392,2013,36451,,13.3,TRUE,38728,13
Hopkins County,KY,656777,45719,665,2013,41166,,8,TRUE,46634,10
Pike County,KY,1304273,94157,881,2013,40446,,12,TRUE,63380,12
Cumberland County,ME,2358414,176134,6255,2013,44658,3,5.2,TRUE,285456,15
York County,ME,1116100,90161,5792,2013,38589,1,6.3,TRUE,199431,12
Carroll County,MD,825918,55012,2646,2013,38921,,5.5,TRUE,167564,16
Cecil County,MD,393813,21866,718,2013,42690,,7.7,TRUE,101913,11
Frederick County,MD,1015251,94326,7797,2013,47373,,5.8,TRUE,241409,18
Prince George's County,MD,,,,2013,51592,,6.9,TRUE,890081,19
Washington County,MD,1222987,113862,8317,2013,38100,,7.4,TRUE,149588,14
Livingston County,MI,635355,44044,1087,2013,39382,,7.4,TRUE,184443,11
Ottawa County,MI,1434482,102939,4910,2013,40861,,6.1,TRUE,272701,11
St. Louis County,MN,2045618,145665,4926,2013,40699,,6,TRUE,200540,11
Clay County,MO,1773787,127167,3761,2013,44589,,6,TRUE,230473,13
Jackson County,MO,5363990,393090,10425,2013,50055,,7.6,TRUE,679996,40
Douglas County,NE,3526831,248108,7746,2013,45745,,4.2,TRUE,537256,13
Lancaster County,NE,2108658,131795,3340,2013,39550,,3.5,TRUE,297036,11
Washoe County,NV,2532441,267004,12873,2013,44067,2,9.4,TRUE,433731,46
Dona Ana County,NM,,,,2013,34635,,7.5,TRUE,213460,11
Rio Arriba County,NM,72473,7981,216,2013,31422,,9.5,TRUE,40072,15
Sandoval County,NM,413830,37464,1929,2013,42143,,7.5,TRUE,136575,10
Valencia County,NM,378754,25891,624,2013,29622,,8.4,TRUE,76284,14
Niagara County,NY,1796356,76514,2675,2013,37861,,8.4,TRUE,214249,12
Oswego County,NY,680750,29920,676,2013,38990,,9.8,TRUE,121165,15
Burke County,NC,895768,75198,3667,2013,33427,,8.3,TRUE,89842,10
Cabarrus County,NC,1905690,144774,6051,2013,36268,,7.6,TRUE,187226,10
Catawba County,NC,2367741,215901,8485,2013,36766,,8.5,TRUE,154810,11
Craven County,NC,1053289,80479,3056,2013,39071,,8.7,TRUE,104489,11
Cumberland County,NC,1799365,165072,5904,2013,39048,,9.7,TRUE,325871,12
Davidson County,NC,1183876,67465,1291,2013,33858,,8.2,TRUE,163420,13
Forsyth County,NC,4302948,308292,12025,2013,45632,,7.5,TRUE,361220,15
Lincoln County,NC,628291,34241,857,2013,33956,,8.3,TRUE,79740,10
Onslow County,NC,566832,41111,1282,2013,31612,,7,TRUE,185220,10
Randolph County,NC,1273524,74365,2547,2013,33042,,8.6,TRUE,142577,15
Wilkes County,NC,686573,34112,277,2013,31777,,8.9,TRUE,69023,14
Canadian County,OK,493259,34156,794,2013,38413,,4.1,TRUE,126123,10
Cleveland County,OK,1012008,96983,3082,2013,36371,,4.3,TRUE,269340,26
Creek County,OK,464313,37797,1003,2013,38664,,6,TRUE,70470,10
Muskogee County,OK,644173,53028,1550,2013,36904,,6.5,TRUE,70303,11
Oklahoma County,OK,6354702,636349,28247,2013,47813,,4.8,TRUE,755245,84
Sequoyah County,OK,426856,39841,602,2013,25229,,8.4,TRUE,41218,10
Tulsa County,OK,6697317,676236,32482,2013,46956,,5.1,TRUE,622409,67
Wagoner County,OK,217797,17678,251,2013,36024,,5.1,TRUE,75700,12
Washington County,OR,2849296,230668,13683,2013,59478,1,6.3,TRUE,554996,10
Berks County,PA,2931409,150466,3547,2013,43967,1,7.1,TRUE,413521,12
Dauphin County,PA,2407109,157458,5852,2013,49043,,6.8,TRUE,270937,14
Erie County,PA,2862908,198465,6314,2013,39035,1,7.4,TRUE,280294,13
Fayette County,PA,1345437,73441,2133,2013,34082,,9.6,TRUE,134999,11
Lackawanna County,PA,3156423,183380,5449,2013,37228,,8.3,TRUE,213931,23
Lancaster County,PA,4433133,244138,8070,2013,40840,1,6,TRUE,529600,10
Lawrence County,PA,1012696,63622,2144,2013,37573,1,7.5,TRUE,89333,12
Monroe County,PA,902269,58161,2079,2013,39112,,9.3,TRUE,167148,16
Aiken County,SC,1173625,78122,3494,2013,45420,,7.6,TRUE,164176,18
Pickens County,SC,949687,77524,2553,2013,36680,,7.4,TRUE,119829,14
Anderson County,TN,797172,60820,1998,2013,51535,,7.9,TRUE,75542,20
Blount County,TN,1083119,86560,4756,2013,42050,,7,TRUE,125099,13
Campbell County,TN,699364,41936,1266,2013,31293,,11.1,TRUE,40238,10
Hamilton County,TN,4537976,461225,23599,2013,43846,,7.2,TRUE,348673,23
Knox County,TN,5738157,586472,40110,2013,42912,,6.3,TRUE,444622,55
Montgomery County,TN,739522,89376,7418,2013,34223,,7.6,TRUE,184119,19
Rutherford County,TN,1606731,119249,5870,2013,42937,,6.2,TRUE,281029,29
Wilson County,TN,867213,95712,5770,2013,40001,,6.3,TRUE,121945,12
Brazoria County,TX,1008098,66452,1251,2013,48785,,6.1,TRUE,330242,12
Galveston County,TX,920722,66402,1539,2013,43830,,6.8,TRUE,306782,17
Jefferson County,TX,2919372,205939,4086,2013,49644,,10.8,TRUE,252358,10
Carbon County,UT,187605,18614,736,2013,38595,,6.3,TRUE,20988,10
Davis County,UT,1092808,82181,2698,2013,39128,,4.3,TRUE,322094,23
Tooele County,UT,156358,12702,550,2013,43727,,5.4,TRUE,60762,14
Washington County,UT,930710,107141,6109,2013,30733,,5.5,TRUE,147800,20
Loudoun County,VA,562911,36530,1813,2013,59316,,4.4,TRUE,349679,10
Chesapeake city,VA,919759,53104,473,2013,,,5.9,TRUE,230571,10
Norfolk city,VA,1942706,134879,4649,2013,,,7,TRUE,246139,11
Thurston County,WA,1460606,132943,7088,2013,44246,,7.6,TRUE,262388,20
Boone County,WV,202674,15735,103,2013,50672,,9.5,TRUE,24224,16
Fayette County,WV,502733,43177,520,2013,35279,,8.6,TRUE,45599,16
Logan County,WV,592579,38872,124,2013,42467,,9.8,TRUE,35987,13
McDowell County,WV,95255,9124,100,2013,46263,,12.7,TRUE,20876,14
Mercer County,WV,925826,66219,452,2013,34114,,7.6,TRUE,61984,20
Mingo County,WV,140333,8283,34,2013,47609,,11.1,TRUE,25900,10
Wayne County,WV,135037,4353,0,2013,41994,,6.9,TRUE,41437,11
Wyoming County,WV,309471,26526,52,2013,45752,,9.2,TRUE,23019,12
Sacramento County,CA,9124669,760339,32945,2014,55368,5,7.3,TRUE,1482026,34
New Castle County,DE,3074974,260307,13776,2014,60042,3,5.5,TRUE,552778,90
San Bernardino County,CA,10923096,857763,26772,2014,42043,9,8,TRUE,2112619,50
Champaign County,IL,1179129,81024,2206,2014,43823,1,6,TRUE,207133,29
Sussex County,DE,1726000,128725,6428,2014,36322,,5.8,TRUE,210849,23
Berkeley County,WV,526536,46928,2300,2014,39187,,5.5,TRUE,110497,51
District of Columbia,DC,2447977,149697,2945,2014,,1,7.8,TRUE,658893,56
Boone County,WV,202674,15735,103,2014,48784,,9.3,TRUE,23714,32
Broward County,FL,12970777,718003,26803,2014,47012,3,5.9,TRUE,1869235,78
Collier County,FL,2360241,166600,8827,2014,43934,1,6,TRUE,348777,36
Duval County,FL,6488303,648947,30584,2014,48811,1,6.7,TRUE,897698,83
Hillsborough County,FL,9793859,721996,36573,2014,48388,1,5.8,TRUE,1316298,93
Cabell County,WV,2032267,171942,5304,2014,39688,,5.5,TRUE,97109,73
Lee County,FL,5100623,378932,19042,2014,39616,2,6,TRUE,679513,78
Kanawha County,WV,2630250,232491,4865,2014,43782,,5.9,TRUE,190223,104
Manatee County,FL,2749486,215259,11008,2014,37931,,5.7,TRUE,351746,61
Miami-Dade County,FL,32375973,828999,14273,2014,48883,1,6.8,TRUE,2662874,101
Maricopa County,AZ,22402246,1914935,99512,2014,49374,32,5.8,TRUE,4087191,313
Orange County,FL,6976219,511367,19496,2014,44422,,5.8,TRUE,1253001,140
Marion County,IN,7759238,702972,23291,2014,51170,,6.5,TRUE,934243,48
Porter County,IN,1035523,77369,3309,2014,41419,,6.2,TRUE,167076,27
Osceola County,FL,2245933,128629,5339,2014,34970,,6.7,TRUE,310211,26
Palm Beach County,FL,10799861,658379,26641,2014,49845,3,5.9,TRUE,1397710,61
Seminole County,FL,2583283,174291,6992,2014,41919,1,5.7,TRUE,442516,33
St. Joseph County,IN,2270858,197187,9422,2014,40516,,6.5,TRUE,267618,16
Clark County,IN,1153716,91793,2370,2014,36503,,5.4,TRUE,114262,11
Bronx County,NY,8996434,253117,5318,2014,47047,1,9.8,TRUE,1438159,107
San Diego County,CA,15974904,1017536,38307,2014,56561,11,6.4,TRUE,3263431,291
Hamilton County,OH,8303714,608375,17154,2014,56357,1,5.5,TRUE,806631,224
Johnson County,KS,3600194,282764,10974,2014,52506,,3.8,TRUE,574272,35
San Francisco County,CA,5058002,271625,14410,2014,91877,8,,TRUE,852469,74
Marion County,FL,3510791,273104,13669,2014,34811,,7.3,TRUE,339167,36
Cobb County,GA,3678410,321414,13504,2014,54088,,5.9,TRUE,730981,42
Boone County,KY,812549,60577,2248,2014,43740,,5.2,TRUE,126413,10
Bullitt County,KY,374454,18134,101,2014,33394,,5.8,TRUE,77955,14
Madison County,IL,2291791,157816,2568,2014,41225,,7,TRUE,266560,50
Santa Clara County,CA,7978840,424048,12902,2014,105382,5,5.2,TRUE,1894605,47
Jefferson County,AL,9111863,728322,17176,2014,50834,,6.3,TRUE,660793,180
Mercer County,WV,925826,66219,452,2014,34436,,7.7,TRUE,61785,47
Raleigh County,WV,1229890,85632,1396,2014,38973,,7.2,TRUE,78241,43
Wayne County,WV,135037,4353,0,2014,43001,,6.9,TRUE,41122,34
St. Clair County,IL,1937167,140212,3695,2014,39942,,7.8,TRUE,265729,11
Los Angeles County,CA,67165128,3111853,78462,2014,56657,38,8.2,TRUE,10116705,356
Ventura County,CA,3774991,253059,8578,2014,51886,3,6.6,TRUE,846178,65
El Paso County,CO,2493468,238179,11862,2014,45525,2,6,TRUE,663519,99
Jefferson County,CO,3473159,285810,14892,2014,51256,2,4.5,TRUE,558503,63
Citrus County,FL,1364717,117472,6474,2014,35142,,8.5,TRUE,139377,16
Hernando County,FL,2282601,213597,14021,2014,33127,,7.9,TRUE,175855,13
Lake County,FL,3420216,236497,13860,2014,34204,,6.4,TRUE,315690,30
Campbell County,KY,564703,34697,683,2014,38829,,5.2,TRUE,91833,33
Pasco County,FL,4667856,384944,22195,2014,35315,,6.7,TRUE,485331,57
Pinellas County,FL,10016909,719898,32591,2014,44758,4,5.8,TRUE,938098,76
DeKalb County,GA,3258954,204505,4306,2014,51820,,7.2,TRUE,722161,26
Fulton County,GA,6504224,501773,18403,2014,68722,,7.1,TRUE,996319,111
Gwinnett County,GA,3286409,235608,8720,2014,49712,,6.1,TRUE,877922,43
Sangamon County,IL,1804219,131725,2587,2014,51513,1,5.9,TRUE,198997,26
Honolulu County,HI,4672896,192967,6949,2014,47058,,,TRUE,991788,29
Cook County,IL,30147006,1544375,26230,2014,60016,6,7.5,TRUE,5246456,484
Peoria County,IL,1872133,140304,2738,2014,47767,1,7.6,TRUE,187319,15
Sedgwick County,KS,4357277,351819,11571,2014,45354,,5.4,TRUE,508803,24
Jefferson Parish,LA,5098164,415805,9266,2014,45381,,6,TRUE,435716,105
Essex County,MA,4986073,254667,11316,2014,53864,3,6,TRUE,769091,136
Middlesex County,MA,7510360,376368,11564,2014,75395,5,4.7,TRUE,1570315,173
Norfolk County,MA,4137623,214199,7026,2014,59382,4,5,TRUE,692254,105
Plymouth County,MA,3112694,169480,4188,2014,47654,2,6.1,TRUE,507022,70
Suffolk County,MA,6662401,405356,15910,2014,86678,1,5.3,TRUE,767254,88
Washtenaw County,MI,2897809,264156,9320,2014,53206,,4.9,TRUE,356874,80
Wayne County,MI,13374890,1101073,24344,2014,55907,2,9.6,TRUE,1764804,257
Hennepin County,MN,7474961,554352,16953,2014,63852,,3.8,TRUE,1212064,86
Ramsey County,MN,3643103,244591,8627,2014,57884,,4,TRUE,532655,10
Fayette County,KY,2996759,330326,18437,2014,44566,,4.8,TRUE,310797,61
Franklin County,MO,1158407,72848,1697,2014,36483,,6.4,TRUE,102084,11
Jefferson County,MO,1263815,97994,3091,2014,33603,,6.2,TRUE,222716,82
St. Charles County,MO,1862725,128670,2935,2014,41369,,4.8,TRUE,379493,88
St. Louis County,MO,11468593,749416,20465,2014,54248,,5.8,TRUE,1001876,247
St. Louis city,MO,2837824,225533,6538,2014,,,7.5,TRUE,317419,189
Clark County,NV,10594811,945059,53650,2014,44082,15,8,TRUE,2069681,240
Onondaga County,NY,3725734,215364,7177,2014,46437,,5.5,TRUE,468196,54
Buncombe County,NC,3793384,284130,8563,2014,38489,,4.7,TRUE,250539,32
Burke County,NC,895768,75198,3667,2014,34019,,6.2,TRUE,89486,33
Davidson County,NC,1183876,67465,1291,2014,34992,,6.3,TRUE,164072,28
Adams County,CO,1793732,165947,8967,2014,48667,,5.7,TRUE,480718,53
Gaston County,NC,2190924,166294,4126,2014,37273,,6.8,TRUE,211127,48
Guilford County,NC,4985883,373031,12369,2014,44520,,6.5,TRUE,512119,39
Iredell County,NC,1913945,159368,7555,2014,44432,,6.3,TRUE,166675,21
Wake County,NC,4911595,341700,15173,2014,50785,,4.9,TRUE,998691,62
Marion County,OH,663548,40737,1674,2014,37881,,6,TRUE,65720,32
Portage County,OH,812936,46084,851,2014,40821,1,5.9,TRUE,161882,31
Summit County,OH,4886077,393170,13065,2014,45717,1,5.9,TRUE,541943,115
Trumbull County,OH,1823185,123711,1841,2014,38668,,7.3,TRUE,205175,65
Clackamas County,OR,2013444,179887,9660,2014,46423,,6.2,TRUE,394972,33
Jefferson County,KY,7816682,640882,16623,2014,49134,,6,TRUE,760026,82
Multnomah County,OR,5557271,491044,26174,2014,51742,7,5.9,TRUE,776712,100
Washington County,OR,2849296,230668,13683,2014,62697,1,5.6,TRUE,562998,40
York County,PA,3427489,189267,7237,2014,43611,,5.4,TRUE,440755,51
Greenville County,SC,4965023,407466,11334,2014,44173,,5.3,TRUE,482752,75
Shelby County,TN,7082205,484077,13214,2014,51719,,7.5,TRUE,938803,152
Salt Lake County,UT,4434686,405092,20040,2014,48290,,3.7,TRUE,1091742,253
Utah County,UT,1740404,151551,6464,2014,40085,,3.5,TRUE,560974,83
Chesterfield County,VA,1676731,99766,1651,2014,44039,,5.1,TRUE,332499,11
Henrico County,VA,1912507,128239,3203,2014,50838,,5.1,TRUE,321924,27
Norfolk city,VA,1942706,134879,4649,2014,,,6.4,TRUE,245428,24
Richmond city,VA,1722146,113233,3274,2014,,,6.2,TRUE,217853,44
Virginia Beach city,VA,1533698,136462,3157,2014,,,4.9,TRUE,450980,45
Arapahoe County,CO,3485512,324947,16428,2014,60325,1,4.9,TRUE,618821,54
Pierce County,WA,4126525,346328,18590,2014,45313,2,7,TRUE,831928,80
Spokane County,WA,3591276,326401,15070,2014,42666,,7,TRUE,484318,35
Milwaukee County,WI,7892929,769431,41652,2014,49539,,6.9,TRUE,956406,222
Waukesha County,WI,2832137,169477,5786,2014,50336,,4.4,TRUE,395118,56
Will County,IL,2495351,158441,3948,2014,44668,2,7.6,TRUE,685419,51
Kenton County,KY,1229571,133765,5598,2014,48324,,5.5,TRUE,163929,42
Madison County,KY,685604,46804,896,2014,36351,,5.4,TRUE,87340,25
East Baton Rouge Parish,LA,4975181,416293,15176,2014,47769,,5.7,TRUE,446042,18
Orleans Parish,LA,2278108,193427,4312,2014,49673,,6.9,TRUE,384320,17
DuPage County,IL,5175585,317133,7386,2014,58466,1,5.8,TRUE,932708,57
Baltimore County,MD,5050413,412618,24119,2014,51125,1,6.1,TRUE,826925,119
Kane County,IL,2101937,119622,1733,2014,44144,1,6.8,TRUE,527306,15
Denver County,CO,2940173,264051,9687,2014,63440,4,,TRUE,663862,89
Lake County,IL,3053971,176334,4974,2014,67777,,6.4,TRUE,705186,44
St. Tammany Parish,LA,2686638,220928,8575,2014,43530,,5.7,TRUE,245829,52
Anchorage Borough,AK,,,,2014,55641,,,TRUE,301010,29
York County,ME,1116100,90161,5792,2014,39835,1,5.2,TRUE,200710,23
Nueces County,TX,3053078,247693,4242,2014,45536,,5.1,TRUE,356221,32
Anne Arundel County,MD,1888614,152469,7418,2014,54136,2,5.1,TRUE,560133,79
Shelby County,AL,1466628,158580,7797,2014,47938,,4.5,TRUE,206655,10
Pima County,AZ,6779426,541215,30559,2014,43114,3,6,TRUE,1004516,144
Contra Costa County,CA,4970290,385753,18941,2014,61920,4,6.2,TRUE,1111339,29
Kern County,CA,4774392,342456,10461,2014,43737,3,10.4,TRUE,874589,60
Orange County,CA,19521112,995284,34190,2014,56771,20,5.5,TRUE,3145515,224
Riverside County,CA,12054835,868895,29283,2014,40363,14,8.2,TRUE,2329271,113
Pueblo County,CO,1476719,145750,5702,2014,38901,1,7.3,TRUE,161875,26
Fairfield County,CT,5082046,288229,9717,2014,83754,3,6.2,TRUE,945438,80
Hartford County,CT,6360690,342745,9511,2014,63832,2,6.9,TRUE,897985,116
Litchfield County,CT,1036420,56167,1142,2014,43302,,5.9,TRUE,184993,33
Middlesex County,CT,936600,56271,1335,2014,50745,1,5.6,TRUE,164943,28
New Haven County,CT,6016421,384978,13048,2014,53117,,7.2,TRUE,861277,99
New London County,CT,1627021,107314,2680,2014,51014,,6.8,TRUE,273676,46
Tolland County,CT,543801,34037,1241,2014,44277,,5.6,TRUE,151367,23
Windham County,CT,760508,41925,1368,2014,40490,,7.3,TRUE,116998,15
Kent County,DE,806330,68542,4435,2014,39979,,6.4,TRUE,171987,22
McHenry County,IL,1189381,63806,1011,2014,41681,,6.6,TRUE,307283,17
Winnebago County,IL,2441206,204088,7252,2014,42870,1,8.2,TRUE,288542,41
Lake County,IN,3626681,254703,4553,2014,44742,,7.9,TRUE,490228,24
Carroll County,MD,825918,55012,2646,2014,39756,,4.8,TRUE,167830,24
Cecil County,MD,393813,21866,718,2014,43511,,6.6,TRUE,102383,26
Frederick County,MD,1015251,94326,7797,2014,48489,,5.1,TRUE,243675,31
Harford County,MD,887411,76157,5108,2014,47944,,5.7,TRUE,250105,31
Montgomery County,MD,3225243,193767,7259,2014,67512,7,4.4,TRUE,1030447,46
Prince George's County,MD,,,,2014,53143,,6.1,TRUE,904430,49
Washington County,MD,1222987,113862,8317,2014,39041,,6.5,TRUE,149573,30
Baltimore city,MD,3889540,310364,9814,2014,,2,8.5,TRUE,622793,158
Berkshire County,MA,1240484,74925,2746,2014,42106,2,6.5,TRUE,128715,13
Bristol County,MA,5264206,280831,11795,2014,45891,3,7.3,TRUE,554194,32
Hampden County,MA,3857745,257312,10371,2014,46593,2,7.8,TRUE,468161,32
Worcester County,MA,6379403,360790,13099,2014,50754,2,6.1,TRUE,813475,71
Genesee County,MI,4198577,387566,9619,2014,41363,,7.9,TRUE,412895,28
Ingham County,MI,2434220,227491,7232,2014,48251,,6.2,TRUE,284582,42
Kent County,MI,5205492,465138,23391,2014,45058,2,5,TRUE,629237,30
Livingston County,MI,635355,44044,1087,2014,40198,,6.4,TRUE,185596,30
Macomb County,MI,6217706,531210,16860,2014,50782,4,7.9,TRUE,860112,136
Monroe County,MI,826056,72953,2633,2014,45260,,6.1,TRUE,149824,22
Muskegon County,MI,1799475,178465,8570,2014,39511,,7.7,TRUE,172344,26
Oakland County,MI,12461612,1024759,34588,2014,56523,2,6.5,TRUE,1237868,32
Ottawa County,MI,1434482,102939,4910,2014,42696,,4.8,TRUE,276292,11
St. Clair County,MI,1263636,110698,3534,2014,40591,,9.6,TRUE,160078,15
DeSoto County,MS,985729,73389,2202,2014,32758,,5.4,TRUE,170913,10
Jackson County,MO,5363990,393090,10425,2014,50896,,7.1,TRUE,683191,51
Hillsborough County,NH,2292593,157853,5371,2014,56831,,4.5,TRUE,405184,65
Merrimack County,NH,1106344,75906,3482,2014,46407,,3.8,TRUE,147171,13
Rockingham County,NH,1170804,80284,3583,2014,50331,,4.6,TRUE,300621,33
Atlantic County,NJ,1873877,163401,5134,2014,42467,,10.5,TRUE,275209,46
Bergen County,NJ,5574281,247891,6624,2014,62034,,5.4,TRUE,933572,54
Cape May County,NJ,804002,45788,1216,2014,35272,,12.2,TRUE,95344,10
Cumberland County,NJ,1213411,62966,1291,2014,43577,,9.9,TRUE,157389,15
Essex County,NJ,4608518,221251,4977,2014,63225,,8,TRUE,795723,50
Hudson County,NJ,4166761,154201,3945,2014,70921,,6.4,TRUE,669115,38
Mercer County,NJ,2492538,150080,3367,2014,67844,,5.9,TRUE,371537,31
Middlesex County,NJ,4432610,196742,5013,2014,61928,,6.1,TRUE,836297,94
Monmouth County,NJ,4300881,251176,7392,2014,50942,,6,TRUE,629279,72
Morris County,NJ,2534012,140828,4325,2014,75942,,5,TRUE,499727,46
Ocean County,NJ,3805137,219363,6283,2014,40773,,7.4,TRUE,586301,46
Passaic County,NJ,3436204,152707,4030,2014,50164,,8.2,TRUE,508856,31
Somerset County,NJ,1344290,78024,2305,2014,82426,,5.2,TRUE,332568,24
Union County,NJ,2967930,115539,1295,2014,64529,,6.9,TRUE,552939,32
Bernalillo County,NM,3706689,335595,13262,2014,43624,,6.3,TRUE,675551,124
New Hanover County,NC,2515644,223946,10487,2014,40388,,5.9,TRUE,216298,12
Rio Arriba County,NM,72473,7981,216,2014,31758,,8.8,TRUE,39777,33
Santa Fe County,NM,993992,86286,2124,2014,42733,,5.5,TRUE,148164,38
Albany County,NY,2530799,147960,3984,2014,52841,,4.9,TRUE,308171,14
Broome County,NY,1861638,124181,5528,2014,39414,,6.6,TRUE,197349,10
Dutchess County,NY,1615151,88965,2312,2014,50132,,5.3,TRUE,296579,35
Erie County,NY,8648514,510916,24118,2014,44678,1,6.1,TRUE,922835,82
Kings County,NY,17960401,409211,7933,2014,41060,2,7.6,TRUE,2621793,136
Monroe County,NY,6772589,316031,8872,2014,47519,1,5.8,TRUE,749857,75
Nassau County,NY,9169862,389685,13374,2014,56396,1,4.8,TRUE,1358627,120
New York County,NY,15177977,610313,21289,2014,108355,5,6.1,TRUE,1636268,90
Niagara County,NY,1796356,76514,2675,2014,38823,,7,TRUE,213525,21
Oneida County,NY,2486873,115497,3991,2014,39655,,6.1,TRUE,232871,35
Orange County,NY,2086724,119443,3670,2014,42286,,5.5,TRUE,376099,65
Queens County,NY,12754035,277774,5205,2014,47498,1,6.4,TRUE,2321580,88
Richmond County,NY,2766790,118097,5127,2014,42855,,7.5,TRUE,473279,65
Saratoga County,NY,1083651,58250,1505,2014,45324,,4.6,TRUE,224921,15
Suffolk County,NY,7640390,358279,9691,2014,54612,,5.4,TRUE,1502968,173
Ulster County,NY,1086340,57007,2155,2014,39276,,5.7,TRUE,180445,12
Westchester County,NY,5823020,208404,4950,2014,68192,1,5.1,TRUE,972634,64
Cumberland County,NC,1799365,165072,5904,2014,38962,,8.1,TRUE,326328,30
Durham County,NC,2184816,181514,9814,2014,65848,,5.1,TRUE,294460,11
Forsyth County,NC,4302948,308292,12025,2014,47871,,6,TRUE,365298,37
Mecklenburg County,NC,6811093,554665,21947,2014,59952,,6,TRUE,1012539,55
Ashtabula County,OH,831731,42695,541,2014,34813,,7.2,TRUE,99175,15
Butler County,OH,2996623,240980,8719,2014,44097,,5.5,TRUE,374158,108
Clark County,OH,1394057,75004,755,2014,35868,,5.8,TRUE,136554,31
Clermont County,OH,860736,52511,1484,2014,41157,,5.5,TRUE,201560,66
Cuyahoga County,OH,10425645,662316,15101,2014,52351,,6.3,TRUE,1259828,222
Fairfield County,OH,1174138,76278,2403,2014,34617,,5.2,TRUE,150381,10
Franklin County,OH,9092397,672435,17130,2014,50906,1,4.9,TRUE,1231393,164
Greene County,OH,872085,70382,3477,2014,50501,,5.2,TRUE,163820,12
Lake County,OH,1588007,97840,3023,2014,42245,,5.5,TRUE,229230,40
Lorain County,OH,1901792,137294,4499,2014,41164,,6.4,TRUE,304216,34
Lucas County,OH,4757476,369881,10698,2014,44298,1,6.4,TRUE,435286,121
Mahoning County,OH,2842068,201835,4098,2014,35976,,6.7,TRUE,233204,41
Medina County,OH,854160,51916,882,2014,39223,,5.1,TRUE,176029,10
Montgomery County,OH,6309378,472951,11856,2014,43709,1,6.1,TRUE,533116,101
Richland County,OH,1067652,63374,1258,2014,35422,,6.5,TRUE,121942,17
Ross County,OH,691205,56955,1044,2014,41639,,6.4,TRUE,77159,26
Stark County,OH,4092154,270045,6090,2014,39098,,5.8,TRUE,375736,44
Warren County,OH,1216608,74921,1826,2014,43928,,5,TRUE,221659,18
Tulsa County,OK,6697317,676236,32482,2014,48181,,4.3,TRUE,629598,68
Lane County,OR,3050641,302833,18497,2014,39413,2,6.9,TRUE,358337,31
Allegheny County,PA,12945517,912880,34748,2014,55236,1,5.3,TRUE,1231255,225
Armstrong County,PA,413584,29370,1433,2014,39354,,6.4,TRUE,67785,10
Berks County,PA,2931409,150466,3547,2014,45568,1,5.5,TRUE,413691,31
Bucks County,PA,4066125,246692,8528,2014,48360,,5.2,TRUE,626685,14
Butler County,PA,1632792,105163,4916,2014,46788,,5,TRUE,185943,11
Delaware County,PA,4121762,251657,8944,2014,54419,1,5.5,TRUE,562960,21
Erie County,PA,2862908,198465,6314,2014,39708,1,6.2,TRUE,278443,16
Lehigh County,PA,3126327,196486,8146,2014,50436,1,6.1,TRUE,357823,11
Montgomery County,PA,7118772,429315,14287,2014,63750,2,4.6,TRUE,816857,91
