,NPPES Provider ZIP Code,NPPES Provider State,total_claims,opioid_claims,extended_release_opioid_claims,zipcode,county
8651,77014,TX,283467,15425,156,77014,['Harris County']
8652,68132,NE,60009,3197,52,68132,['Douglas County']
8653,48656,MI,19321,1120,0,48656,['Roscommon County']
8654,55328,MN,33430,1741,58,55328,['Wright County']
8655,68105,NE,46888,6690,1109,68105,['Douglas County']
8656,60064,IL,43101,2110,16,60064,['Lake County']
8657,80810,CO,12440,896,15,80810,['Cheyenne County']
8658,28012,NC,224364,14870,455,28012,['Gaston County']
8659,8021,NJ,279243,14769,263,08021,['Camden County']
8660,60651,IL,101917,5247,30,60651,['Cook County']
8661,11360,NY,71165,3862,298,11360,['Queens County']
8662,13077,NY,5239,307,24,13077,['Cortland County']
8663,15022,PA,99956,3988,112,15022,['Washington County']
8664,12449,NY,92641,3358,51,12449,['Ulster County']
8665,29045,SC,72459,4233,17,29045,['Kershaw County']
8666,85935,AZ,12097,885,32,85935,['Navajo County']
8667,2238,MA,5817,102,0,02238,[None]
8668,20132,VA,57225,2794,94,20132,['Loudoun County']
8669,32052,FL,76570,3137,0,32052,['Hamilton County']
8670,20175,VA,20603,750,26,20175,['Loudoun County']
8671,80487,CO,87071,8619,210,80487,['Routt County']
8672,2762,MA,66663,4338,174,02762,['Norfolk County']
8673,3242,NH,2376,53,0,03242,['Merrimack County']
8674,73005,OK,61348,5875,121,73005,['Caddo County']
8675,80701,CO,104120,7709,306,80701,['Morgan County']
8676,21783,MD,47661,1205,23,21783,['Washington County']
8677,77377,TX,18340,932,0,77377,['Harris County']
8678,901,PR,77414,2321,0,00901,['San Juan Municipio']
8679,92392,CA,66538,6653,606,92392,['San Bernardino County']
8680,65355,MO,166202,14034,339,65355,['Benton County']
8681,64052,MO,51638,3198,19,64052,['Jackson County']
8682,76020,TX,223648,13588,171,76020,['Tarrant County']
8683,59270,MT,74873,2446,13,59270,['Richland County']
8684,30655,GA,289334,12413,168,30655,['Walton County']
8685,7208,NJ,165890,4924,14,07208,['Union County']
8686,87022,NM,8122,338,0,87022,[None]
8687,78390,TX,33971,1378,0,78390,['San Patricio County']
8688,85723,AZ,18996,861,13,85723,[None]
8689,11421,NY,154784,2654,0,11421,['Queens County']
8690,85132,AZ,49251,3926,254,85132,['Pinal County']
8691,46394,IN,46828,1970,0,46394,['Lake County']
8692,93626,CA,493,91,0,93626,['Fresno County']
8693,93920,CA,2679,378,0,93920,['Monterey County']
8694,31903,GA,26759,1040,0,31903,['Muscogee County']
8695,79364,TX,18143,996,0,79364,['Lubbock County']
8696,44452,OH,6091,323,0,44452,['Mahoning County']
8697,30324,GA,19644,1136,0,30324,['Fulton County']
8698,15724,PA,28404,1000,25,15724,['Indiana County']
8699,47712,IN,167270,16544,1143,47712,['Vanderburgh County']
8700,82501,WY,96306,3579,44,82501,['Fremont County']
8701,23418,VA,70100,3310,0,23418,['Accomack County']
8702,30233,GA,165880,13393,670,30233,['Butts County']
8703,37088,TN,2838,1829,104,37088,[None]
8704,6385,CT,49062,7037,109,06385,['New London County']
8705,17015,PA,175441,10053,308,17015,['Cumberland County']
8706,76574,TX,131623,6571,0,76574,['Williamson County']
8707,54665,WI,165807,10443,424,54665,['Vernon County']
8708,48044,MI,68957,4058,51,48044,['Macomb County']
8709,36310,AL,131873,10834,47,36310,['Henry County']
8710,18062,PA,79216,2770,92,18062,['Lehigh County']
8711,51537,IA,176939,5538,203,51537,['Shelby County']
8712,66224,KS,43266,5354,176,66224,['Johnson County']
8713,98312,WA,32865,2948,133,98312,['Kitsap County']
8714,65721,MO,180564,12549,378,65721,['Christian County']
8715,78644,TX,82756,1971,0,78644,['Caldwell County']
8716,3773,NH,39589,1947,76,03773,['Sullivan County']
8717,14622,NY,191868,8069,287,14622,['Monroe County']
8718,27041,NC,40867,1321,0,27041,['Surry County']
8719,28657,NC,27830,985,0,28657,['Avery County']
8720,48430,MI,191233,15571,432,48430,['Genesee County']
8721,97068,OR,118129,20515,2373,97068,['Clackamas County']
8722,41001,KY,78786,3101,91,41001,['Campbell County']
8723,68862,NE,71658,3626,64,68862,['Valley County']
8724,56630,MN,18207,324,0,56630,['Beltrami County']
8725,79529,TX,30662,1411,11,79529,['Knox County']
8726,54221,WI,107671,4276,41,54221,[None]
8727,3458,NH,91260,5775,69,03458,['Hillsborough County']
8728,13838,NY,72416,2565,0,13838,['Delaware County']
8729,60404,IL,7478,1212,36,60404,['Will County']
8730,42050,KY,22512,465,11,42050,['Fulton County']
8731,79764,TX,9094,490,0,79764,['Ector County']
8732,98550,WA,59422,3326,35,98550,['Grays Harbor County']
8733,53959,WI,132602,7174,270,53959,['Sauk County']
8734,11790,NY,185332,7037,170,11790,['Suffolk County']
8735,927,PR,155609,4640,11,00927,['San Juan Municipio']
8736,2760,MA,63292,3561,199,02760,['Bristol County']
8737,32779,FL,95231,4029,30,32779,['Seminole County']
8738,34947,FL,86016,4165,128,34947,['St. Lucie County']
8739,36503,AL,21693,1760,0,36503,[None]
8740,72761,AR,174548,11220,233,72761,['Benton County']
8741,6095,CT,93387,3755,65,06095,['Hartford County']
8742,50548,IA,76521,4487,114,50548,['Humboldt County']
8743,85120,AZ,110179,7469,106,85120,['Pinal County']
8744,54482,WI,30829,1294,18,54482,['Portage County']
8745,65608,MO,98722,5443,36,65608,['Douglas County']
8746,60455,IL,28472,1269,0,60455,['Cook County']
8747,20653,MD,21243,1149,0,20653,"[""St. Mary's County""]"
8748,80005,CO,78889,3999,66,80005,['Jefferson County']
8749,18073,PA,116643,3859,46,18073,['Montgomery County']
8750,73932,OK,25452,1234,0,73932,['Beaver County']
8751,85643,AZ,97055,7262,624,85643,['Cochise County']
8752,72104,AR,300291,17968,206,72104,['Hot Spring County']
8753,45142,OH,17377,1130,0,45142,['Highland County']
8754,20657,MD,13916,755,16,20657,['Calvert County']
8755,95655,CA,18968,1083,29,95655,['Sacramento County']
8756,54612,WI,37022,2289,83,54612,['Trempealeau County']
8757,81007,CO,53102,5108,69,81007,['Pueblo County']
8758,72350,AR,756,149,0,72350,['Mississippi County']
8759,20171,VA,22778,1548,42,20171,['Fairfax County']
8760,33809,FL,49300,2794,129,33809,['Polk County']
8761,3874,NH,2310,167,0,03874,['Rockingham County']
8762,95360,CA,58439,2680,37,95360,['Stanislaus County']
8763,49544,MI,155480,8490,198,49544,['Kent County']
8764,30025,GA,37830,3509,13,30025,['Walton County']
8765,30577,GA,418313,19691,130,30577,['Stephens County']
8766,75207,TX,14007,395,0,75207,['Dallas County']
8767,75180,TX,439,92,0,75180,['Dallas County']
8768,87113,NM,207778,15540,602,87113,['Bernalillo County']
8769,92832,CA,55174,2351,11,92832,['Orange County']
8770,70449,LA,6541,280,0,70449,['Livingston Parish']
8771,30537,GA,40180,3166,0,30537,['Rabun County']
8772,59457,MT,98137,5721,152,59457,['Fergus County']
8773,80601,CO,214621,15465,723,80601,['Adams County']
8774,77864,TX,81773,3503,86,77864,['Madison County']
8775,65661,MO,56191,5215,204,65661,['Dade County']
8776,44117,OH,13300,842,0,44117,['Cuyahoga County']
8777,51301,IA,260005,15259,193,51301,['Clay County']
8778,74107,OK,54395,4062,70,74107,['Tulsa County']
8779,30290,GA,11100,512,13,30290,['Fayette County']
8780,24954,WV,5441,293,0,24954,['Pocahontas County']
8781,98683,WA,342813,22309,784,98683,['Clark County']
8782,60456,IL,14930,961,11,60456,['Cook County']
8783,92107,CA,49802,2846,14,92107,['San Diego County']
8784,33037,FL,31295,2471,116,33037,['Monroe County']
8785,54002,WI,54199,3371,127,54002,['St. Croix County']
8786,25514,WV,27122,253,0,25514,['Wayne County']
8787,58367,ND,24174,1067,0,58367,['Rolette County']
8788,59102,MT,275453,20359,680,59102,['Yellowstone County']
8789,73651,OK,79815,5167,15,73651,['Kiowa County']
8790,2482,MA,9708,623,32,02482,['Norfolk County']
8791,54308,WI,106436,5097,145,54308,[None]
8792,71417,LA,8293,378,0,71417,['Grant Parish']
8793,5060,VT,112110,7674,441,05060,['Orange County']
8794,6475,CT,57828,4877,188,06475,['Middlesex County']
8795,95573,CA,31458,4654,156,95573,['Humboldt County']
8796,29690,SC,192354,12497,316,29690,['Greenville County']
8797,37738,TN,16472,2621,140,37738,['Sevier County']
8798,56470,MN,179013,9909,170,56470,['Hubbard County']
8799,49690,MI,6238,946,0,49690,['Grand Traverse County']
8800,7860,NJ,256200,10199,43,07860,['Sussex County']
8801,67701,KS,98496,6028,164,67701,['Thomas County']
8802,79109,TX,27274,2478,0,79109,['Randall County']
8803,58495,ND,37790,1719,19,58495,['McIntosh County']
8804,7621,NJ,63671,2549,102,07621,['Bergen County']
8805,32962,FL,3958,139,0,32962,['Indian River County']
8806,55122,MN,108096,6288,152,55122,['Dakota County']
8807,57234,SD,8006,308,0,57234,['Hamlin County']
8808,2703,MA,286418,18712,939,02703,['Bristol County']
8809,47970,IN,94850,3758,51,47970,['Benton County']
8810,2673,MA,1886,615,26,02673,['Barnstable County']
8811,61073,IL,92887,4946,153,61073,['Winnebago County']
8812,75707,TX,13142,456,12,75707,['Smith County']
8813,6447,CT,44035,2707,60,06447,['Hartford County']
8814,24293,VA,96212,5285,173,24293,['Wise County']
8815,65806,MO,111243,9959,454,65806,['Greene County']
8816,80249,CO,36409,3485,192,80249,['Denver County']
8817,73628,OK,12378,739,0,73628,['Roger Mills County']
8818,6716,CT,260326,6751,112,06716,['New Haven County']
8819,92113,CA,83509,4024,159,92113,['San Diego County']
8820,15218,PA,61220,3103,0,15218,['Allegheny County']
8821,77868,TX,118931,3989,37,77868,['Grimes County']
8822,10119,NY,108183,11000,258,10119,['New York County']
8823,29570,SC,24214,1333,0,29570,['Marlboro County']
8824,93286,CA,43773,4041,75,93286,['Tulare County']
8825,80221,CO,40822,3856,263,80221,['Adams County']
8826,82637,WY,7120,415,0,82637,['Converse County']
8827,57369,SD,39920,1094,24,57369,['Charles Mix County']
8828,49443,MI,8565,1866,0,49443,[None]
8829,91335,CA,233307,10152,111,91335,['Los Angeles County']
8830,18222,PA,107448,4735,138,18222,['Luzerne County']
8831,29520,SC,220376,12923,206,29520,['Chesterfield County']
8832,84128,UT,13026,447,0,84128,['Salt Lake County']
8833,96097,CA,167654,16220,820,96097,['Siskiyou County']
8834,54986,WI,7756,473,0,54986,['Winnebago County']
8835,12953,NY,221621,10188,263,12953,['Franklin County']
8836,15946,PA,64117,2669,80,15946,['Cambria County']
8837,6339,CT,19787,1344,35,06339,['New London County']
8838,80016,CO,61990,5471,324,80016,['Arapahoe County']
8839,70578,LA,105064,3633,0,70578,['Acadia Parish']
8840,84148,UT,5328,1359,136,84148,[None]
8841,925,PR,179324,4322,16,00925,['San Juan Municipio']
8842,56232,MN,38231,1680,66,56232,['Lac qui Parle County']
8843,18077,PA,9766,352,0,18077,['Bucks County']
8844,36551,AL,20967,604,0,36551,['Baldwin County']
8845,30643,GA,217020,11789,25,30643,['Hart County']
8846,30135,GA,108287,10963,554,30135,['Douglas County']
8847,10528,NY,37034,1775,0,10528,['Westchester County']
8848,25411,WV,104958,6970,166,25411,['Morgan County']
